Fielding start,Fielding end,State,Politician,Demographic,Sample size,Margin of error,Approve,Disapprove,Net Approval
04/01/2022,06/30/2022,Hawaii,David Ige,Registered Voters,1310,0.03,0.44,0.49,-0.05
04/01/2022,06/30/2022,Idaho,Brad Little,Registered Voters,1226,0.03,0.54,0.36,0.18
04/01/2022,06/30/2022,Illinois,JB Pritzker,Registered Voters,14258,0.01,0.51,0.44,0.07
04/01/2022,06/30/2022,Indiana,Eric Holcomb,Registered Voters,8332,0.01,0.54,0.35,0.19
04/01/2022,06/30/2022,Iowa,Kim Reynolds,Registered Voters,3384,0.02,0.47,0.45,0.02
04/01/2022,06/30/2022,Kansas,Laura Kelly,Registered Voters,2809,0.02,0.56,0.34,0.22
04/01/2022,06/30/2022,Kentucky,Andy Beshear,Registered Voters,7008,0.01,0.55,0.39,0.16
04/01/2022,06/30/2022,Louisiana,John Bel Edwards,Registered Voters,4318,0.01,0.5,0.41,0.09
04/01/2022,06/30/2022,Maine,Janet Mills,Registered Voters,1997,0.02,0.53,0.42,0.11
04/01/2022,06/30/2022,Maryland,Larry Hogan,Registered Voters,6446,0.01,0.7,0.22,0.48
04/01/2022,06/30/2022,Massachusetts,Charlie Baker,Registered Voters,7325,0.01,0.73,0.2,0.53
04/01/2022,06/30/2022,Michigan,Gretchen Whitmer,Registered Voters,13881,0.01,0.5,0.45,0.05
04/01/2022,06/30/2022,Minnesota,Tim Walz,Registered Voters,6268,0.01,0.51,0.42,0.09
04/01/2022,06/30/2022,Mississippi,Tate Reeves,Registered Voters,3115,0.02,0.47,0.43,0.04
04/01/2022,06/30/2022,Missouri,Mike Parson,Registered Voters,8019,0.01,0.48,0.36,0.12
04/01/2022,06/30/2022,Montana,Greg Gianforte,Registered Voters,989,0.03,0.55,0.36,0.18
04/01/2022,06/30/2022,Nebraska,Pete Ricketts,Registered Voters,1932,0.02,0.51,0.4,0.11
04/01/2022,06/30/2022,Nevada,Steve Sisolak,Registered Voters,3554,0.02,0.5,0.42,0.08
04/01/2022,06/30/2022,New Hampshire,Chris Sununu,Registered Voters,1961,0.02,0.6,0.34,0.27
04/01/2022,06/30/2022,New Jersey,Philip Murphy,Registered Voters,10093,0.01,0.52,0.39,0.13
04/01/2022,06/30/2022,New Mexico,Michelle Lujan Grisham,Registered Voters,1497,0.03,0.49,0.43,0.06
04/01/2022,06/30/2022,New York,Kathy Hochul,Registered Voters,23136,0.01,0.49,0.38,0.11
04/01/2022,06/30/2022,North Carolina,Roy Cooper III,Registered Voters,13122,0.01,0.51,0.37,0.14
04/01/2022,06/30/2022,North Dakota,Doug Burgum,Registered Voters,679,0.04,0.57,0.35,0.22
04/01/2022,06/30/2022,Ohio,Mike DeWine,Registered Voters,16541,0.01,0.57,0.36,0.2
04/01/2022,06/30/2022,Oklahoma,Kevin Stitt,Registered Voters,4540,0.01,0.48,0.41,0.07
04/01/2022,06/30/2022,Oregon,Kate Brown,Registered Voters,3939,0.02,0.4,0.55,-0.15
04/01/2022,06/30/2022,Pennsylvania,Tom Wolf,Registered Voters,18759,0.01,0.47,0.46,0
04/01/2022,06/30/2022,Rhode Island,Dan McKee,Registered Voters,1445,0.03,0.38,0.43,-0.05
04/01/2022,06/30/2022,South Carolina,Henry McMaster,Registered Voters,6749,0.01,0.53,0.37,0.16
04/01/2022,06/30/2022,South Dakota,Kristi Noem,Registered Voters,943,0.03,0.59,0.39,0.2
04/01/2022,06/30/2022,Tennessee,Bill Lee,Registered Voters,8541,0.01,0.56,0.33,0.24
04/01/2022,06/30/2022,Texas,Gregory Abbott,Registered Voters,23329,0.01,0.5,0.43,0.07
04/01/2022,06/30/2022,Utah,Spencer Cox,Registered Voters,2288,0.02,0.56,0.3,0.26
04/01/2022,06/30/2022,Vermont,Phil Scott,Registered Voters,823,0.03,0.74,0.18,0.55
04/01/2022,06/30/2022,Virginia,Glenn Youngkin,Registered Voters,10189,0.01,0.53,0.35,0.18
04/01/2022,06/30/2022,Washington,Jay Inslee,Registered Voters,5695,0.01,0.51,0.43,0.09
04/01/2022,06/30/2022,West Virginia,Jim Justice,Registered Voters,2901,0.02,0.66,0.28,0.38
04/01/2022,06/30/2022,Wisconsin,Tony Evers,Registered Voters,7426,0.01,0.46,0.47,-0.02
04/01/2022,06/30/2022,Wyoming,Mark Gordon,Registered Voters,519,0.04,0.74,0.17,0.57
